,id,charged_off
0,43373,0
1,24414,0
2,46723,0
3,24878,0
4,39038,0
5,36809,1
6,24005,0
7,13722,0
8,26082,0
9,16701,0
10,11504,0
11,49127,0
12,14626,0
13,23189,0
14,19667,0
15,39343,0
16,27322,0
17,34549,1
18,21211,0
19,38196,0
20,36648,0
21,24423,0
22,37588,0
23,41744,0
24,39727,0
25,42693,1
26,23510,0
27,41061,1
28,54681,0
29,31437,0
30,52508,0
31,15715,0
32,51871,1
33,52190,0
34,40962,0
35,47373,0
36,34459,1
37,45300,1
38,34716,0
39,37578,0
40,32602,0
41,21259,0
42,55160,1
43,14554,0
44,42481,0
45,30200,0
46,56973,0
47,54415,0
48,39869,0
49,39505,1
50,49668,0
51,38356,0
52,26120,1
53,40458,0
54,45323,0
55,55754,0
56,46093,0
57,27655,0
58,47043,0
59,11703,0
60,47434,0
61,26205,0
62,33190,0
63,44141,0
64,40912,0
65,43124,0
66,42237,0
67,26689,0
68,38368,0
69,31693,0
70,40197,0
71,14982,0
72,55552,0
73,57170,0
74,50015,0
75,36354,0
76,34210,0
77,13496,0
78,13400,0
79,39854,0
80,11846,0
81,44814,0
82,21373,0
83,41123,0
84,27468,0
85,25492,0
86,44143,0
87,11542,0
88,34123,0
89,49676,0
90,18113,0
91,34095,0
92,34441,0
93,49390,0
94,32995,0
95,46026,0
96,25220,0
97,41773,0
98,36309,0
99,23315,0
100,26849,0
101,43235,1
102,23996,0
103,14881,1
104,56001,0
105,10209,0
106,15720,0
107,56409,1
108,23722,0
109,38183,0
110,15844,1
111,22708,1
112,13817,0
113,47810,0
114,21458,0
115,54330,0
116,30838,0
117,12108,0
118,17149,0
119,29753,0
120,14655,0
121,48027,0
122,31390,0
123,23252,0
124,34494,0
125,39538,0
126,13237,0
127,32588,0
128,16914,0
129,38583,0
130,37645,0
131,26319,0
132,43863,0
133,45354,1
134,42664,0
135,35373,1
136,53543,0
137,54046,0
138,49800,0
139,11493,0
140,36762,0
141,15956,0
142,22481,0
143,19113,0
144,54312,0
145,11800,0
146,40879,0
147,10383,0
148,24622,0
149,38817,1
150,29673,0
151,28977,1
152,27659,0
153,20283,0
154,28558,0
155,18184,0
156,21098,0
157,16299,1
158,31408,0
159,36300,1
160,42445,0
161,51061,0
162,33734,0
163,46107,0
164,19039,1
165,16727,0
166,24931,0
167,14041,0
168,33906,0
169,32424,0
170,34120,0
171,38740,0
172,15796,1
173,30520,0
174,39423,1
175,41834,0
176,10129,0
177,23601,1
178,13656,0
179,23538,0
180,43658,0
181,41475,0
182,47703,1
183,28224,1
184,28117,0
185,31372,0
186,49406,0
187,11460,0
188,52447,0
189,52877,0
190,52504,0
191,33921,0
192,53834,0
193,26656,0
194,26889,0
195,21428,0
196,15331,1
197,49681,0
198,26229,0
199,21848,0
200,26281,0
201,34828,0
